Year_Month,Revenue,ROAS,Spend
2019-01-01,13592.9,2.6189,5190.308908320287
2019-02-01,12056.32,2.5702,4690.81005369232
2019-03-01,22004.13,4.5574,4828.220037740817
2019-04-01,11650.2,3.0806,3781.795754073882
2019-05-01,10213.0,2.6727,3821.2294683279083
2019-06-01,12128.71,4.0568,2989.723427331887
2019-07-01,6164.9,0.0,0.0
2019-08-01,29682.7,5.8178,5102.048884458042
2019-09-01,25981.32,2.1531,12066.936045701548
2019-10-01,39811.61,7.5367,5282.366287632519
2019-11-01,75966.98,12.0861,6285.48332381827
2019-12-01,67246.73,10.6995,6285.034814710967
2020-01-01,45268.4,9.1056,4971.490072043577
2020-02-01,62954.97,12.267,5132.05918317437
2020-03-01,21454.62,6.8546,3129.9594432935546
2020-04-01,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0
2020-06-01,33250.26,4.5273,7344.390696441587
2020-07-01,157447.6,18.1501,8674.751103299708
2020-08-01,178230.53,21.0017,8486.481094387598
2020-09-01,94224.51,14.2518,6611.411190165452
2020-10-01,78531.98,21.713,3616.81849583199
2020-11-01,68926.62,12.35,5581.102834008097
2020-12-01,49533.15,10.0601,4923.723422232383
2021-01-01,73978.61,13.0355,5675.164742434122
2021-02-01,88677.97,11.3859,7788.402322170405
2021-03-01,119753.87,12.3762,9676.142111472018
2021-04-01,86732.35,11.034,7860.463114011238
2021-05-01,76041.87,10.036,7576.910123555201
2021-06-01,201518.8,18.9359,10642.15590492134
2021-07-01,209316.95,24.9423,8392.046844116221
2021-08-01,43640.71,12.6102,3460.7468557199722
2021-09-01,84929.21,13.7144,6192.703289972585
2021-10-01,97392.02,15.4847,6289.5645378987
2021-11-01,94197.37,15.3262,6146.166042463233
2021-12-01,82407.99,9.0153,9140.90379687864
2022-01-01,125019.563844,11.366711523771338,8708.959277
2022-02-01,180228.355912,15.585448325121513,9288.315597
2022-03-01,220002.208116,21.50491511668328,9750.634749
2022-04-01,112482.039968,15.630484074891903,6698.680465
2022-05-01,147431.82787,12.379342570765408,9816.206582
2022-06-01,113574.168049,11.688903354433554,9846.01356
2022-07-01,164631.543301,11.134745865708902,11296.927181000001
2022-08-01,166375.864065,16.378976490360103,12068.066474
2022-09-01,72307.9263,7.955015512546061,10024.096994
2022-10-01,85910.933064,9.353317891292392,8194.590213
2022-11-01,121117.064073,10.23229689586647,11197.826086000001
2022-12-01,98849.706105,10.82898845782653,9715.04412
2023-01-01,134717.247576,9.852068296868673,12850.60309
2023-02-01,167026.698394,12.148697883263855,11160.928606
2023-03-01,237104.777168,16.699267715431496,11795.924708
2023-04-01,180764.46384,16.232029219540767,9955.582896
2023-05-01,285943.356251,13.968361050089001,16359.118525
2023-06-01,322502.852045,18.216669088336253,15541.946763
2023-07-01,274089.359574,13.248460235574054,16669.040156
2023-08-01,276627.680009,13.285136762924985,23174.055787
2023-09-01,168059.927621,11.62834609361902,16732.524897
2023-10-01,148969.661569,10.07871668839325,16383.988578
2023-11-01,128748.77441499999,8.394686403911374,15383.203443
2023-12-01,110110.223623,12.720752549965697,11947.898661
2024-01-01,151504.523371,18.536010414262496,9044.602128
2024-02-01,202413.281419,27.907958164621412,12464.155934
2024-03-01,308880.981297,16.89533905404806,18156.56495
2024-04-01,322050.173284,12.96285252682953,20491.981759
2024-05-01,269365.877045,15.053823470255956,18775.916482
2024-06-01,288188.045792,16.826542807305554,20059.18769
2024-07-01,297219.350156,14.396987948363025,18660.176554
2024-08-01,237461.415176,12.494926151091013,16063.037579
2024-09-01,168672.704973,12.840690929496622,12720.817975
2024-10-01,136879.076939,15.050270765143868,12547.467713
2024-11-01,110852.071537,9.959075100586487,9689.018461
2024-12-01,171061.925522,12.12714015956202,15302.75793
2025-01-01,312146.935814,11.415838274904043,25415.550483
2025-02-01,272658.676001,12.954283368649754,18065.539643
2025-03-01,418240.377752,14.66975655794277,25289.857857
2025-04-01,383482.911469,13.237076427368235,25865.345432
2025-05-01,394966.68106,21.918601645872847,20789.169823
2025-06-01,491252.735921,19.510352825527004,21652.526436
2025-07-01,558362.71338,15.944045464937513,34590.359838000004
