Year_Month,ROAS
2022-01-01,10.695889204335653
2022-02-01,14.940937304157842
2022-03-01,21.18585109418056
2022-04-01,14.88617530942086
2022-05-01,11.8992572633119
2022-06-01,11.292057870178093
2022-07-01,10.864812632600808
2022-08-01,15.847505276808599
2022-09-01,7.208335356133795
2022-10-01,7.150659411773023
2022-11-01,8.07054403054257
2022-12-01,9.177759721349434
2023-01-01,9.323098186969684
2023-02-01,11.392778903860771
2023-03-01,15.655563483217028
2023-04-01,15.381156720129356
2023-05-01,13.124634543707787
2023-06-01,17.405652998787037
2023-07-01,13.106003673901213
2023-08-01,13.14380552076621
2023-09-01,11.141989412897312
2023-10-01,9.942517814225774
2023-11-01,8.333186869816783
2023-12-01,12.504229102306708
2024-01-01,17.928272367893232
2024-02-01,27.42678647212794
2024-03-01,16.80498964734192
2024-04-01,12.839981886764793
2024-05-01,14.992876816530224
2024-06-01,16.54841813280464
2024-07-01,14.281812044776121
2024-08-01,12.345584404265225
2024-09-01,12.769353757666085
2024-10-01,14.882111315253992
2024-11-01,9.768774302486108
2024-12-01,11.970660931696704
2025-01-01,11.340734075727042
2025-02-01,12.954283368649754
2025-03-01,14.66975655794277
2025-04-01,13.237076427368235
2025-05-01,21.803844569192886
2025-06-01,19.510352825527004
2025-07-01,15.732866054805891
