,Revenue,Label
2025-08-01,371580.58,STL+ARIMA
2025-09-01,262294.03,STL+ARIMA
2025-10-01,207969.45,STL+ARIMA
2025-11-01,177045.51,STL+ARIMA
2025-12-01,234586.18,STL+ARIMA
2026-01-01,405594.49,STL+ARIMA
2026-02-01,395483.45,STL+ARIMA
2026-03-01,620056.24,STL+ARIMA
2026-04-01,628652.67,STL+ARIMA
2026-05-01,624387.91,STL+ARIMA
2026-06-01,738038.46,STL+ARIMA
2026-07-01,704964.7,STL+ARIMA
2026-08-01,549425.32,STL+ARIMA
2026-09-01,387832.52,STL+ARIMA
2026-10-01,307507.35,STL+ARIMA
2026-11-01,261782.73,STL+ARIMA
2026-12-01,346863.26,STL+ARIMA
2027-01-01,599718.81,STL+ARIMA
